"y.level","term","estimate"
"3","SEXMale:DESCRIPTIONMilk/Butter/Dried Milk Prod",-0.0986343906668889
"3","SEXMale:DESCRIPTIONMiscellaneous Food Related Items",-2.13798584519798
"3","SEXMale:DESCRIPTIONNuts/Edible Seed",-0.0959548237106007
"3","SEXMale:DESCRIPTIONSnack Food Item",-0.26148646977693
"3","SEXMale:DESCRIPTIONSoft Drink/Water",-0.845630418146986
"3","SEXMale:DESCRIPTIONSoup",-0.394080430770724
"3","SEXMale:DESCRIPTIONVegetable Oils",-0.0680366651007821
"3","SEXMale:DESCRIPTIONVegetable Protein Prod",-0.119832677134757
"3","SEXMale:DESCRIPTIONVit/Min/Prot/Unconv Diet(Human/Animal)",-0.343081028674162
"3","SEXMale:DESCRIPTIONWhole Grain/Milled Grain Prod/Starch",-0.319254206595083
"4","SEXMale",-1.19142184287606
"4","SEXMale:DESCRIPTIONBaby Food Products",-0.795572743414874
"4","SEXMale:DESCRIPTIONBakery Prod/Dough/Mix/Icing",-0.562756800596685
"4","SEXMale:DESCRIPTIONCandy W/O Choc/Special/Chew Gum",-0.379311508866761
"4","SEXMale:DESCRIPTIONCereal Prep/Breakfast Food",-0.556654120446313
"4","SEXMale:DESCRIPTIONChoc/Cocoa Prod",-0.128491191767775
"4","SEXMale:DESCRIPTIONDressing/Condiment",-0.0775508910574852
"4","SEXMale:DESCRIPTIONEgg/Egg Prod",-0.373737790457937
"4","SEXMale:DESCRIPTIONFilled Milk/Imit Milk Prod",-1.93212002568625
"4","SEXMale:DESCRIPTIONFishery/Seafood Prod",-3.04111290240018
"4","SEXMale:DESCRIPTIONFood Additives (Human Use)",-0.0543246481759834
"4","SEXMale:DESCRIPTIONFood Sweeteners (Nutritive)",-0.255676664110017
"4","SEXMale:DESCRIPTIONFruit/Fruit Prod",-0.400479185667361
"4","SEXMale:DESCRIPTIONIce Cream Prod",-0.151514211394685
"4","SEXMale:DESCRIPTIONMacaroni/Noodle Prod",-1.31237495873241
"4","SEXMale:DESCRIPTIONMeat, Meat Products and Poultry",-0.107310883341955
"4","SEXMale:DESCRIPTIONMedical Foods, N.E.C.",-0.233104632485723
"4","SEXMale:DESCRIPTIONMilk/Butter/Dried Milk Prod",-0.358802430654094
"4","SEXMale:DESCRIPTIONMiscellaneous Food Related Items",-0.0477987768230996
"4","SEXMale:DESCRIPTIONMult Food Dinner/Grav/Sauce/Special",-2.04841080681563
"4","SEXMale:DESCRIPTIONNuts/Edible Seed",-0.975009599064399
"4","SEXMale:DESCRIPTIONPrep Salad Prod",-0.179536137568146
"4","SEXMale:DESCRIPTIONSnack Food Item",-0.315554645903609
"4","SEXMale:DESCRIPTIONSoup",-0.238905216591273
"4","SEXMale:DESCRIPTIONSpices, Flavors And Salts",-1.48471699479759
"4","SEXMale:DESCRIPTIONVegetable Oils",-0.116726772057157
"4","SEXMale:DESCRIPTIONVegetable Protein Prod",-0.0638107185672372
"4","SEXMale:DESCRIPTIONVegetables/Vegetable Products",-1.14817968581325
"4","SEXMale:DESCRIPTIONWhole Grain/Milled Grain Prod/Starch",-0.0242650708494632
"5","SEXMale",-0.075704607370643
"5","SEXMale:DESCRIPTIONBakery Prod/Dough/Mix/Icing",-0.735827666937776
"5","SEXMale:DESCRIPTIONDietary Conventional Foods/Meal Replacements",-0.391874965008287
"5","SEXMale:DESCRIPTIONEgg/Egg Prod",-0.222697663395612
"5","SEXMale:DESCRIPTIONFishery/Seafood Prod",-2.8282082377011
"5","SEXMale:DESCRIPTIONFood Additives (Human Use)",-0.221856947259643
"5","SEXMale:DESCRIPTIONFood Sweeteners (Nutritive)",-0.561815185454646
"5","SEXMale:DESCRIPTIONIce Cream Prod",-0.329251940618172
"5","SEXMale:DESCRIPTIONMacaroni/Noodle Prod",-2.3668018576112
"5","SEXMale:DESCRIPTIONMeat, Meat Products and Poultry",-0.489074496221378
"5","SEXMale:DESCRIPTIONMedical Foods, N.E.C.",-0.42314865270934
"5","SEXMale:DESCRIPTIONMiscellaneous Food Related Items",-0.370201268974496
"5","SEXMale:DESCRIPTIONNuts/Edible Seed",-0.399476097812504
"5","SEXMale:DESCRIPTIONPrep Salad Prod",-0.544719328957516
"5","SEXMale:DESCRIPTIONSnack Food Item",-0.180452521058068
"5","SEXMale:DESCRIPTIONSoft Drink/Water",-1.30445284628218
"5","SEXMale:DESCRIPTIONVegetable Oils",-0.331350466802486
"5","SEXMale:DESCRIPTIONVegetable Protein Prod",-0.416036771457817
"5","SEXMale:DESCRIPTIONVegetables/Vegetable Products",-1.32244986239247
"5","SEXMale:DESCRIPTIONVit/Min/Prot/Unconv Diet(Human/Animal)",-0.733856849750254
"6","age_in_years",-0.00769434684322187
"6","SEXMale:DESCRIPTIONBakery Prod/Dough/Mix/Icing",-0.211087715451843
"6","SEXMale:DESCRIPTIONCereal Prep/Breakfast Food",-0.447474936516563
"6","SEXMale:DESCRIPTIONCheese/Cheese Prod",-0.567535545722531
"6","SEXMale:DESCRIPTIONChoc/Cocoa Prod",-0.677632297734068
"6","SEXMale:DESCRIPTIONCoffee/Tea",-1.11423062435159
"6","SEXMale:DESCRIPTIONDietary Conventional Foods/Meal Replacements",-0.0977698017786851
"6","SEXMale:DESCRIPTIONEgg/Egg Prod",-0.67400865270509
"6","SEXMale:DESCRIPTIONFishery/Seafood Prod",-0.626558279955898
"6","SEXMale:DESCRIPTIONFood Additives (Human Use)",-0.142896573573702
"6","SEXMale:DESCRIPTIONFood Sweeteners (Nutritive)",-1.41986195901541
"6","SEXMale:DESCRIPTIONIce Cream Prod",-0.0980475532910915
"6","SEXMale:DESCRIPTIONMeat, Meat Products and Poultry",-0.307927244988273
"6","SEXMale:DESCRIPTIONMedical Foods, N.E.C.",-0.162001144939771
"6","SEXMale:DESCRIPTIONMiscellaneous Food Related Items",-0.30842123313991
"6","SEXMale:DESCRIPTIONPowder Formula",-0.796303761372626
"6","SEXMale:DESCRIPTIONPrep Salad Prod",-0.0927878022880567
"6","SEXMale:DESCRIPTIONSnack Food Item",-0.172452175334459
"6","SEXMale:DESCRIPTIONSoft Drink/Water",-0.698071506739924
"6","SEXMale:DESCRIPTIONSoup",-0.00325975937939495
"6","SEXMale:DESCRIPTIONVegetable Oils",-0.106573709320945
"6","SEXMale:DESCRIPTIONVegetable Protein Prod",-1.16678687044109
"6","SEXMale:DESCRIPTIONVegetables/Vegetable Products",-0.0421548135275952
"6","SEXMale:DESCRIPTIONWhole Grain/Milled Grain Prod/Starch",-0.332311422661203
